Department, Counts
臺北市政府體育局, 239
臺北市勞動檢查處, 220
臺北市政府勞動局勞動基準科, 202
臺北市稅捐稽徵處機會稅科, 190
臺北市政府社會局婦女福利及兒童托育科, 182
臺北市商業處, 180
臺北自來水事業處, 177
臺北市政府地政局土地登記科, 175
臺北市立聯合醫院, 173
臺北市停車管理工程處, 169
臺北市政府社會局身心障礙者福利科, 158
臺北市政府勞動局勞資關係科, 152
臺北市政府衛生局醫事管理科, 152
臺北市稅捐稽徵處財產稅科, 147
臺北市政府觀光傳播局, 129
臺北市政府警察局, 124
臺北市政府產業發展局工商服務科, 123
臺北市政府民政局, 122
臺北市政府衛生局健康管理科, 122
臺北市勞動力重建運用處, 110
臺北市政府法務局, 107
臺北市政府交通局, 106
臺北市政府社會局老人福利科, 103
臺北市公共運輸處, 102
臺北市政府兵役局, 99
臺北市政府教育局中等教育科, 93
臺北市稅捐稽徵處稅務管理科, 93
臺北市政府勞動局就業安全科, 91
臺北大眾捷運股份有限公司, 90
臺北市政府警察局交通警察大隊, 90
臺北市政府文化局, 88
臺北市政府捷運工程局, 87
臺北市政府產業發展局科技產業服務中心, 86
臺北市政府環境保護局空污噪音防制科, 84
臺北市政府產業發展局農業發展科, 82
臺北市政府公務人員訓練處, 81
臺北市政府產業發展局公用事業科, 81
臺北市政府環境保護局資源循環管理科, 80
臺北市政府研究發展考核委員會, 80
臺北市政府社會局社會救助科, 80
臺北市動物保護處防疫檢驗組, 73
臺北市政府消防局, 73
臺北市政府衛生局疾病管制科, 70
臺北市政府都市發展局, 70
臺北市政府資訊局應用服務組, 69
臺北市政府地政局地權及不動產交易科, 67
臺北市殯葬管理處, 65
臺北市立圖書館, 65
臺北市政府勞動局職業安全衛生科, 63
臺北市政府教育局終身教育科, 63
臺北市政府教育局國小教育科, 62
臺北市政府地政局地價科, 59
臺北市政府資訊局設備網路組, 52
臺北市動物保護處產業保育組, 50
臺北市就業服務處, 50
臺北市立動物園, 50
臺北市稅捐稽徵處, 49
臺北市政府教育局特殊教育科, 48
臺北市政府環境保護局環境清潔管理科, 47
臺北市政府環境保護局環保稽查大隊, 46
臺北市政府工務局水利工程處河川管理科, 45
臺北市稅捐稽徵處企劃服務科, 45
臺北市藝文推廣處, 44
臺北市政府地政局測繪科, 43
臺北市政府教育局軍訓室, 43
